Bus Route,Bus Stop,Time,Latitude,Longitude
1.Ennore Bus Stand,Ennore Bus Stand,5.45 am,13.1721,80.3051
1.Ennore Bus Stand,Ernavur anna nagar,5.48 am,13.166189,80.298858
1.Ennore Bus Stand,Lift Gate,5.54 am,13.1850,80.3121
1.Ennore Bus Stand,Wimco nagar,6.00 am,13.1796833,80.3054594
1.Ennore Bus Stand,Thiruvottiyur Bus Terminal,6.01 am,13.1721,80.3051
1C. Tollgate (Thiruvotriyur),Lakshmi Koil,6.05 am,13.1005217,80.28851965408805
1C. Tollgate (Thiruvotriyur),Tondiarpet Depot,6.06 am,13.13461665,80.29075239136311
1C. Tollgate (Thiruvotriyur),Kasimedu,6.10 am,13.13640375,80.29580123628818
2.Tondiarpet,Tondiarpet Mani Cycle Shop,6.10 am,13.122897,80.293452
3.Choolai,Choolai post office,6.15 am,13.0904,80.2656
3.Choolai,Veperi Police Station,6.20 am,13.0861, 80.2626
4.Chintadripet,Chintadripet Fish Market,6.15 am,13.0752222,80.2698578
4.Chintadripet,Chintadripet Market,6.17 am,13.0748904,80.2695735
5. Chintamani,Chintamani,6.30 am,13.0868,80.2289
5. Chintamani,K3 Police station,6.33 am,13.0802,80.2425
5B. Maduravoyal Erikarai,Maduravoyal Erikarai,6.50 am,13.0656,80.1605
5B. Maduravoyal Erikarai,Vanagaram bus stop,6.55 am,13.0678,80.1432
6. New Avadi Road Water Tank,New Avadi Road Water Tank,6.25 am,13.0872, 80.2206
6. New Avadi Road Water Tank,Gangaiamman koil,6.27 am,13.0162304,80.1932133
